"ds","y"
"2008-03-29",-4
"2008-03-30",-4
"2008-03-31",-4
"2008-04-01",-4
"2008-04-02",-4
"2008-04-03",-4
"2008-04-04",-4
"2008-04-05",-4
"2008-04-06",-4
"2008-04-07",-4
"2008-04-08",-4
"2008-04-09",-3
"2008-04-10",-4
"2008-04-11",-4
"2008-04-12",-4
"2008-04-13",-4
"2008-04-14",-3
"2008-04-15",-3
"2008-04-16",-3
"2008-04-17",-2
"2008-04-18",-2
"2008-04-19",-2
"2008-04-20",-2
"2008-04-21",-1
"2008-04-22",0
"2008-04-23",-1
"2008-04-24",-1
"2008-04-25",0
"2008-04-26",0
"2008-04-27",0
"2008-04-28",0
"2008-04-29",1
"2008-04-30",0
"2008-05-01",1
"2008-05-02",2
"2008-05-03",2
"2008-05-04",2
"2008-05-05",2
"2008-05-06",3
"2008-05-07",3
"2008-05-08",4
"2008-05-09",3
"2008-05-10",4
"2008-05-11",4
"2008-05-12",5
"2008-05-13",6
"2008-05-14",6
"2008-05-15",6
"2008-05-16",6
"2008-05-17",7
"2008-05-18",7
"2008-05-19",7
"2008-05-20",7
"2008-05-21",7
"2008-05-22",7
"2008-05-23",7
"2008-05-24",9
"2008-05-25",9
"2008-05-26",8
"2008-05-27",8
"2008-05-28",9
"2008-05-29",9
"2008-05-30",9
"2008-05-31",9
"2008-06-03",9
"2008-06-04",10
"2008-06-05",9
"2008-06-06",9
"2008-06-07",9
"2008-06-08",9
"2008-06-09",9
"2008-06-10",9
"2008-06-11",9
"2008-06-12",9
"2008-06-13",9
"2008-06-14",9
"2008-06-15",9
"2008-06-16",9
"2008-06-17",9
"2008-06-18",9
"2008-06-19",8
"2008-06-20",8
"2008-06-21",8
"2008-06-22",7
"2008-06-23",7
"2008-06-24",7
"2008-06-25",7
"2008-06-26",7
"2008-06-27",7
"2008-06-28",6
"2008-06-29",6
"2008-06-30",5
"2008-07-02",5
"2008-07-03",5
"2008-07-04",4
"2008-07-05",4
"2008-07-06",4
"2008-07-07",3
"2008-07-08",2
"2008-07-09",2
"2008-07-10",1
"2008-07-11",1
"2008-07-12",1
"2008-08-01",1
"2008-08-02",1
"2008-08-03",0
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",0
"2008-08-09",-1
"2008-08-10",-1
"2008-08-11",-1
"2008-08-12",-2
"2008-08-13",-2
"2008-08-14",-2
"2008-08-15",-2
"2008-08-16",-3
"2008-08-17",-3
"2008-08-18",-3
"2008-08-19",-4
"2008-08-20",-4
"2008-08-21",-3
"2008-08-22",-4
"2008-08-23",-5
"2008-08-24",-5
"2008-08-25",-5
"2008-08-26",-4
"2008-08-27",-5
"2008-08-28",-5
"2008-08-29",-5
"2008-08-30",-5
"2008-08-31",-5
"2008-09-01",-5
"2008-09-02",-5
"2008-09-03",-5
"2008-09-04",-5
"2008-09-05",-5
"2008-09-06",-4
"2008-09-07",-5
"2008-09-08",-4
"2008-09-09",-4
"2008-09-10",-4
"2008-09-11",-3
"2008-09-12",-3
"2008-09-13",-3
"2008-09-14",-3
"2008-09-15",-3
"2008-09-16",-2
"2008-09-17",-2
"2008-09-18",-2
"2008-09-19",-1
"2008-09-20",-1
"2008-09-21",-1
"2008-09-22",-1
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0
"2008-09-26",0
"2008-09-27",0
"2008-09-28",1
"2008-09-29",1
"2008-09-30",1
"2008-10-01",2
"2008-10-02",1
"2008-10-03",2
"2008-10-04",2
"2008-10-05",3
"2008-10-06",3
"2008-10-07",4
"2008-10-08",4
"2008-10-09",4
"2008-10-10",5
"2008-10-11",5
"2008-10-12",5
"2008-10-13",6
"2008-10-14",6
"2008-10-15",7
"2008-10-16",7
"2008-10-17",7
"2008-10-18",7
"2008-10-19",7
"2008-10-20",7
"2008-10-23",7
"2008-10-24",7
"2008-10-25",8
"2008-10-26",8
"2008-10-27",9
"2008-10-28",9
"2008-10-29",9
"2008-10-30",9
"2008-10-31",9
"2008-11-01",9
"2008-11-02",9
"2008-11-03",9
"2008-11-04",9
"2008-11-05",9
"2008-11-06",9
"2008-11-07",9
"2008-11-08",9
"2008-11-09",9
"2008-11-10",9
"2008-11-11",9
"2008-11-12",9
"2008-11-13",9
"2008-11-14",8
"2008-11-15",9
"2008-11-16",8
"2008-11-17",7
"2008-11-18",8
"2008-11-19",7
"2008-11-20",7
"2008-11-21",7
"2008-11-22",6
"2008-11-23",7
"2008-11-24",6
"2008-11-25",5
"2008-11-26",6
"2008-11-27",5
"2008-11-28",5
"2008-11-29",4
"2008-11-30",4
"2008-12-01",3
"2008-12-02",3
"2008-12-03",2
"2008-12-04",1
"2008-12-05",2
"2008-12-06",1
"2008-12-07",1
"2008-12-08",1
"2008-12-09",0
"2008-12-10",0
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0
"2008-12-15",-1
"2008-12-16",-1
"2008-12-17",-2
"2008-12-18",-1
"2008-12-19",-2
"2008-12-20",-2
"2008-12-21",-3
"2008-12-22",-3
"2008-12-23",-3
"2008-12-24",-4
"2008-12-25",-4
"2008-12-26",-5
"2008-12-27",-4
"2008-12-28",-4
"2008-12-29",-4
"2008-12-30",-5
"2008-12-31",-5
"2009-01-01",-5
"2009-01-02",-5
"2009-01-03",-5
"2009-01-04",-5
"2009-01-05",-5
"2009-01-06",-6
"2009-01-07",-5
"2009-01-08",-5
"2009-01-09",-5
"2009-01-10",-5
"2009-01-11",-5
"2009-01-12",-5
"2009-01-13",-4
"2009-01-14",-5
"2009-01-15",-5
"2009-01-16",-6
"2009-01-17",-5
"2009-01-18",-5
"2009-01-19",-4
"2009-01-20",-3
"2009-01-21",-4
"2009-01-22",-3
"2009-01-23",-3
"2009-01-24",-3
"2009-01-25",-3
"2009-01-26",-2
"2009-01-27",-2
"2009-01-28",-1
"2009-01-29",-1
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",1
"2009-02-07",1
"2009-02-08",1
"2009-02-09",2
"2009-02-10",2
"2009-02-11",3
"2009-02-12",2
"2009-02-13",3
"2009-02-14",4
"2009-02-15",4
"2009-02-16",4
"2009-02-17",5
"2009-02-18",5
"2009-02-19",5
"2009-02-20",6
"2009-02-21",6
"2009-02-22",7
"2009-02-23",7
"2009-02-24",6
"2009-02-25",7
"2009-02-26",7
"2009-02-27",7
"2009-02-28",7
"2009-03-01",8
"2009-03-02",7
"2009-03-03",7
"2009-03-04",7
"2009-03-05",8
"2009-03-06",8
"2009-03-07",8
"2009-03-08",9
"2009-03-09",9
"2009-03-10",8
"2009-03-11",8
"2009-03-12",8
"2009-03-13",8
"2009-03-14",9
"2009-03-15",8
"2009-03-16",8
"2009-03-17",8
"2009-03-18",8
"2009-03-19",8
"2009-03-20",9
"2009-03-21",9
"2009-03-22",8
"2009-03-23",8
"2009-03-24",7
"2009-03-25",7
"2009-03-26",8
"2009-03-27",7
"2009-03-28",7
"2009-03-29",7
"2009-03-30",6
"2009-03-31",7
"2009-04-01",5
"2009-04-02",5
"2009-04-03",5
"2009-04-04",5
"2009-04-05",4
"2009-04-06",4
"2009-04-07",4
"2009-04-08",3
"2009-04-09",2
"2009-04-10",2
"2009-04-11",2
"2009-04-12",1
"2009-04-13",1
"2009-04-14",1
"2009-04-15",0
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",0
"2009-04-20",0
"2009-04-21",0
"2009-04-22",-1
"2009-04-23",-1
"2009-04-24",-1
"2009-04-25",-1
"2009-04-26",-2
"2009-04-27",-3
"2009-04-28",-2
"2009-04-29",-4
"2009-04-30",-3
"2009-05-01",-3
"2009-05-02",-4
"2009-05-03",-4
"2009-05-04",-4
"2009-05-05",-5
"2009-05-06",-5
"2009-05-07",-5
"2009-05-08",-5
"2009-05-09",-5
"2009-05-10",-5
"2009-05-11",-6
"2009-05-12",-6
"2009-05-13",-6
"2009-05-14",-5
"2009-05-15",-6
"2009-05-16",-5
"2009-05-17",-6
"2009-05-18",-6
"2009-05-19",-5
"2009-05-20",-6
"2009-05-21",-6
"2009-05-22",-5
"2009-05-23",-5
"2009-05-24",-5
"2009-05-25",-5
"2009-05-26",-4
"2009-05-27",-4
"2009-05-28",-4
"2009-05-29",-4
"2009-05-30",-4
"2009-05-31",-3
"2009-06-01",-3
"2009-06-02",-3
"2009-06-03",-2
"2009-06-04",-2
"2009-06-05",-2
"2009-06-06",-1
"2009-06-07",-1
"2009-06-08",-1
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",1
"2009-06-15",1
"2009-06-16",1
"2009-06-17",2
"2009-06-18",2
"2009-06-19",2
"2009-06-20",2
"2009-06-21",3
"2009-06-22",3
"2009-06-23",3
"2009-06-24",4
"2009-06-25",5
"2009-06-26",4
"2009-06-27",5
"2009-06-28",5
"2009-06-29",6
"2009-06-30",5
"2009-07-01",7
"2009-07-02",6
"2009-07-03",7
"2009-07-04",7
"2009-07-05",7
"2009-07-06",8
"2009-07-07",8
"2009-07-08",7
"2009-07-09",8
"2009-07-10",8
"2009-07-11",9
"2009-07-12",8
"2009-07-13",8
"2009-07-14",8
"2009-07-15",8
"2009-07-16",8
"2009-07-17",9
"2009-07-18",8
"2009-07-19",8
"2009-07-20",8
"2009-07-21",8
"2009-07-22",8
"2009-07-23",8
"2009-07-24",8
"2009-07-25",8
"2009-07-26",8
"2009-07-27",8
"2009-07-28",8
"2009-07-29",7
"2009-07-30",7
"2009-07-31",7
"2009-08-01",7
"2009-08-02",2
"2009-08-03",-12
"2009-08-04",-35
"2009-08-05",-56
"2009-08-06",-69
"2009-08-07",-78
"2009-08-08",-87
"2009-08-09",-100
"2009-08-10",-118
"2009-08-11",-139
"2009-08-12",-160
"2009-08-13",-179
"2009-08-14",-197
"2009-08-15",-208
"2009-08-16",-213
"2009-08-17",-217
"2009-08-18",-222
"2009-08-19",-229
"2009-08-20",-236
"2009-08-21",-240
"2009-08-22",-243
"2009-08-23",-244
"2009-08-24",-244
"2009-08-25",-242
"2009-08-26",-237
"2009-08-27",-232
"2009-08-28",-226
"2009-08-29",-219
"2009-08-30",-209
"2009-08-31",-198
"2009-09-01",-190
"2009-09-02",-179
"2009-09-03",-168
"2009-09-04",-154
"2009-09-05",-137
"2009-09-06",-119
"2009-09-07",-103
"2009-09-08",-85
"2009-09-09",-68
"2009-09-10",-49
"2009-09-11",-30
"2009-09-12",-10
"2009-09-13",10
"2009-09-14",31
"2009-09-15",52
"2009-09-16",72
"2009-09-17",91
"2009-09-18",113
"2009-09-19",136
"2009-09-20",158
"2009-09-21",178
"2009-09-22",198
"2009-09-24",219
"2009-09-28",239
"2009-09-29",259
"2009-09-30",277
"2009-10-01",298
"2009-10-02",316
"2009-10-03",333
"2009-10-04",348
"2009-10-05",364
"2009-10-06",379
"2009-10-07",395
"2009-10-08",408
"2009-10-09",420
"2009-10-10",431
"2009-10-11",441
"2009-10-12",450
"2009-10-13",458
"2009-10-17",465
"2009-10-18",471
"2009-10-19",475
"2009-10-20",479
"2009-10-21",479
"2009-10-22",478
"2009-10-23",478
"2009-10-24",477
"2009-10-25",475
"2009-10-26",470
"2009-10-27",463
"2009-10-28",455
"2009-10-29",447
"2009-10-30",437
"2009-10-31",425
"2009-11-01",413
"2009-11-02",400
"2009-11-03",386
"2009-11-04",369
"2009-11-05",351
"2009-11-06",333
"2009-11-07",314
"2009-11-08",296
"2009-11-09",274
"2009-11-10",251
"2009-11-11",228
"2009-11-12",205
"2009-11-13",180
"2009-11-14",155
"2009-11-16",129
"2009-11-17",102
"2009-11-18",76
"2009-11-19",48
"2009-11-20",20
"2009-11-21",-7
"2009-11-23",-34
"2009-11-24",-61
"2009-11-25",-89
"2009-11-26",-118
"2009-11-27",-147
"2009-11-28",-174
"2009-11-29",-201
"2009-11-30",-229
"2009-12-01",-256
"2009-12-02",-282
"2009-12-03",-308
"2009-12-04",-333
"2009-12-05",-358
"2009-12-06",-382
"2009-12-07",-405
"2009-12-08",-428
"2009-12-09",-449
"2009-12-10",-471
"2009-12-11",-490
"2009-12-12",-508
"2009-12-13",-525
"2009-12-14",-542
"2009-12-15",-557
"2009-12-16",-571
"2009-12-17",-584
"2009-12-18",-595
"2009-12-19",-606
"2009-12-20",-615
"2009-12-21",-622
"2009-12-22",-626
"2009-12-23",-631
"2009-12-24",-634
"2009-12-25",-637
"2009-12-26",-637
"2009-12-27",-634
"2009-12-28",-631
"2009-12-29",-626
"2009-12-30",-621
"2009-12-31",-613
"2010-01-01",-604
"2010-01-02",-594
"2010-01-03",-583
"2010-01-04",-569
"2010-01-05",-554
"2010-01-06",-538
"2010-01-07",-521
"2010-01-08",-503
"2010-01-09",-484
"2010-01-10",-462
"2010-01-11",-440
"2010-01-12",-417
"2010-01-13",-393
"2010-01-14",-367
"2010-01-15",-340
"2010-01-16",-314
"2010-01-17",-286
"2010-01-18",-257
"2010-01-19",-227
"2010-01-20",-197
"2010-01-21",-166
"2010-01-22",-135
"2010-01-25",-104
"2010-01-26",-71
"2010-01-27",-38
"2010-01-28",-6
"2010-01-29",24
"2010-01-30",57
"2010-01-31",89
"2010-02-01",121
"2010-02-02",152
"2010-02-03",183
"2010-02-04",214
"2010-02-05",246
"2010-02-06",275
"2010-02-07",304
"2010-02-09",333
"2010-02-10",361
"2010-02-11",388
"2010-02-12",414
"2010-02-13",439
"2010-02-14",463
"2010-02-15",487
"2010-02-16",509
"2010-02-17",530
"2010-02-18",550
"2010-02-19",568
"2010-02-20",586
"2010-02-21",600
"2010-02-22",614
"2010-02-24",628
"2010-02-25",639
"2010-02-26",649
"2010-02-27",658
"2010-02-28",664
"2010-03-01",669
"2010-03-02",673
"2010-03-03",675
"2010-03-04",675
"2010-03-05",673
"2010-03-06",671
"2010-03-07",667
"2010-03-08",661
"2010-03-09",653
"2010-03-10",644
"2010-03-11",634
"2010-03-12",621
"2010-03-13",607
"2010-03-14",592
"2010-03-15",575
"2010-03-16",557
"2010-03-17",538
"2010-03-18",517
"2010-03-19",496
"2010-03-20",473
"2010-03-21",449
"2010-03-22",422
"2010-03-23",396
"2010-03-24",369
"2010-03-25",341
"2010-03-26",313
"2010-03-27",282
"2010-03-28",250
"2010-03-29",219
"2010-03-30",188
"2010-03-31",156
"2010-04-01",123
"2010-04-02",89
"2010-04-03",56
"2010-04-04",22
"2010-04-05",-10
"2010-04-06",-44
"2010-04-07",-76
"2010-04-08",-109
"2010-04-09",-142
"2010-04-10",-175
"2010-04-11",-207
"2010-04-12",-238
"2010-04-13",-269
"2010-04-14",-299
"2010-04-15",-328
"2010-04-16",-358
"2010-04-17",-386
"2010-04-18",-412
"2010-04-19",-438
"2010-04-20",-464
"2010-04-21",-488
"2010-04-22",-510
"2010-04-23",-531
"2010-04-24",-552
"2010-04-25",-571
"2010-04-26",-588
"2010-04-27",-604
"2010-04-28",-618
"2010-04-29",-631
"2010-04-30",-644
"2010-05-01",-654
"2010-05-02",-663
"2010-05-03",-672
"2010-05-04",-679
"2010-05-05",-681
"2010-05-06",-684
"2010-05-07",-684
"2010-05-08",-684
"2010-05-09",-681
"2010-05-10",-677
"2010-05-11",-671
"2010-05-12",-664
"2010-05-13",-656
"2010-05-14",-645
"2010-05-15",-634
"2010-05-16",-621
"2010-05-17",-605
"2010-05-18",-589
"2010-05-19",-572
"2010-05-20",-553
"2010-05-21",-533
"2010-05-22",-511
"2010-05-23",-489
"2010-05-24",-465
"2010-05-25",-440
"2010-05-26",-413
"2010-05-27",-387
"2010-05-28",-359
"2010-05-29",-330
"2010-05-30",-300
"2010-05-31",-270
"2010-06-01",-239
"2010-06-02",-207
"2010-06-03",-175
"2010-06-04",-143
"2010-06-05",-110
"2010-06-06",-76
"2010-06-07",-44
"2010-06-08",-9
"2010-06-09",23
"2010-06-10",56
"2010-06-11",89
"2010-06-12",121
"2010-06-13",153
"2010-06-14",186
"2010-06-15",217
"2010-06-16",248
"2010-06-17",279
"2010-06-18",309
"2010-06-19",338
"2010-06-20",366
"2010-06-21",392
"2010-06-22",418
"2010-06-23",445
"2010-06-24",469
"2010-06-25",492
"2010-06-27",513
"2010-06-29",535
"2010-06-30",554
"2010-07-01",572
"2010-07-02",589
"2010-07-03",604
"2010-07-04",619
"2010-07-06",630
"2010-07-11",642
"2010-07-12",651
"2010-07-13",659
"2010-07-14",666
"2010-07-15",670
"2010-07-16",673
"2010-07-17",675
"2010-07-18",674
"2010-07-19",673
"2010-07-20",671
"2010-07-21",665
"2010-07-22",658
"2010-07-23",650
"2010-07-24",641
"2010-07-25",630
"2010-07-26",617
"2010-07-27",603
"2010-07-28",588
"2010-07-29",572
"2010-07-30",553
"2010-07-31",533
"2010-08-01",512
"2010-08-02",489
"2010-08-03",467
"2010-08-04",443
"2010-08-05",417
"2010-08-06",390
"2010-08-07",362
"2010-08-08",334
"2010-08-09",305
"2010-08-10",275
"2010-08-11",243
"2010-08-12",212
"2010-08-13",181
"2010-08-14",148
"2010-08-15",115
"2010-08-16",83
"2010-08-17",49
"2010-08-18",16
"2010-08-19",-16
"2010-08-20",-49
"2010-08-21",-82
"2010-08-22",-115
"2010-08-23",-148
"2010-08-24",-180
"2010-08-25",-211
"2010-08-26",-243
"2010-08-27",-273
"2010-08-28",-303
"2010-08-29",-333
"2010-08-30",-360
"2010-08-31",-387
"2010-09-01",-415
"2010-09-02",-441
"2010-09-03",-465
"2010-09-04",-488
"2010-09-05",-510
"2010-09-06",-532
"2010-09-07",-551
"2010-09-08",-570
"2010-09-09",-587
"2010-09-10",-602
"2010-09-11",-617
"2010-09-12",-629
"2010-09-13",-642
"2010-09-14",-650
"2010-09-15",-658
"2010-09-16",-665
"2010-09-17",-670
"2010-09-18",-674
"2010-09-19",-677
"2010-09-20",-677
"2010-09-21",-675
"2010-09-22",-673
"2010-09-23",-668
"2010-09-24",-662
"2010-09-25",-654
"2010-09-26",-644
"2010-09-27",-634
"2010-09-28",-622
"2010-09-29",-607
"2010-09-30",-593
"2010-10-01",-575
"2010-10-02",-559
"2010-10-03",-538
"2010-10-04",-517
"2010-10-05",-496
"2010-10-06",-473
"2010-10-07",-448
"2010-10-08",-423
"2010-10-09",-397
"2010-10-10",-369
"2010-10-11",-341
"2010-10-12",-311
"2010-10-13",-281
"2010-10-14",-251
"2010-10-15",-220
"2010-10-16",-187
"2010-10-17",-155
"2010-10-18",-122
"2010-10-19",-88
"2010-10-20",-55
"2010-10-21",-21
"2010-10-22",11
"2010-10-23",44
"2010-10-24",77
"2010-10-25",109
"2010-10-26",142
"2010-10-27",175
"2010-10-28",206
"2010-10-29",237
"2010-10-30",268
"2010-10-31",298
"2010-11-01",328
"2010-11-02",356
"2010-11-03",383
"2010-11-04",409
"2010-11-05",435
"2010-11-06",460
"2010-11-07",483
"2010-11-08",505
"2010-11-09",527
"2010-11-10",546
"2010-11-11",565
"2010-11-12",582
"2010-11-13",598
"2010-11-14",613
"2010-11-15",626
"2010-11-16",636
"2010-11-17",646
"2010-11-18",654
"2010-11-19",660
"2010-11-20",664
"2010-11-21",668
"2010-11-22",670
"2010-11-23",670
"2010-11-24",668
"2010-11-25",665
"2010-11-26",660
"2010-11-27",654
"2010-11-28",645
"2010-11-29",636
"2010-11-30",625
"2010-12-01",612
"2010-12-02",598
"2010-12-03",582
"2010-12-04",565
"2010-12-05",546
"2010-12-06",527
"2010-12-07",505
"2010-12-08",483
"2010-12-09",460
"2010-12-10",435
"2010-12-11",409
"2010-12-12",382
"2010-12-13",354
"2010-12-14",326
"2010-12-15",297
"2010-12-16",266
"2010-12-17",236
"2010-12-18",205
"2010-12-19",172
"2010-12-20",140
"2010-12-21",106
"2010-12-22",74
"2010-12-23",40
"2010-12-24",7
"2010-12-25",-25
"2010-12-26",-59
"2010-12-27",-92
"2010-12-28",-125
"2010-12-29",-157
"2010-12-30",-189
"2010-12-31",-221
"2011-01-01",-252
"2011-01-02",-282
"2011-01-03",-312
"2011-01-04",-340
"2011-01-05",-368
"2011-01-06",-396
"2011-01-07",-422
"2011-01-08",-447
"2011-01-09",-471
"2011-01-10",-494
"2011-01-11",-516
"2011-01-12",-536
"2011-01-13",-556
"2011-01-14",-573
"2011-01-15",-590
"2011-01-16",-606
"2011-01-17",-621
"2011-01-18",-636
"2011-01-19",-651
"2011-01-20",-662
"2011-01-21",-671
"2011-01-22",-677
"2011-01-23",-678
"2011-01-24",-678
"2011-01-25",-678
"2011-01-26",-676
"2011-01-27",-673
"2011-01-28",-670
"2011-01-29",-665
"2011-01-30",-659
"2011-01-31",-650
"2011-02-01",-639
"2011-02-02",-627
"2011-02-03",-612
"2011-02-04",-597
"2011-02-05",-581
"2011-02-06",-564
"2011-02-07",-545
"2011-02-08",-525
"2011-02-09",-504
"2011-02-10",-480
"2011-02-11",-457
"2011-02-12",-431
"2011-02-13",-404
"2011-02-14",-378
"2011-02-15",-349
"2011-02-16",-321
"2011-02-17",-290
"2011-02-18",-260
"2011-02-19",-229
"2011-02-20",-198
"2011-02-21",-166
"2011-02-22",-133
"2011-02-23",-99
"2011-02-24",-67
"2011-02-25",-34
"2011-02-26",0
"2011-02-27",32
"2011-02-28",64
"2011-03-01",96
"2011-03-02",129
"2011-03-03",162
"2011-03-04",193
"2011-03-05",224
"2011-03-06",254
"2011-03-07",285
"2011-03-08",314
"2011-03-09",343
"2011-03-10",370
"2011-03-11",397
"2011-03-12",424
"2011-03-13",448
"2011-03-14",471
"2011-03-15",494
"2011-03-16",516
"2011-03-17",536
"2011-03-18",555
"2011-03-19",573
"2011-03-20",588
"2011-03-21",603
"2011-03-22",616
"2011-03-23",628
"2011-03-24",639
"2011-03-25",647
"2011-03-26",655
"2011-03-27",660
"2011-03-28",665
"2011-03-29",668
"2011-03-30",669
"2011-03-31",667
"2011-04-01",666
"2011-04-02",662
"2011-04-03",656
"2011-04-04",649
"2011-04-05",642
"2011-04-06",632
"2011-04-07",620
"2011-04-08",607
"2011-04-09",592
"2011-04-10",577
"2011-04-11",559
"2011-04-12",541
"2011-04-13",521
"2011-04-14",500
"2011-04-15",478
"2011-04-16",454
"2011-04-17",430
"2011-04-18",405
"2011-04-19",378
"2011-04-20",351
"2011-04-21",323
"2011-04-22",294
"2011-04-23",265
"2011-04-24",234
"2011-04-25",203
"2011-04-26",171
"2011-04-27",139
"2011-04-28",107
"2011-04-29",74
"2011-04-30",42
"2011-05-01",9
"2011-05-02",-23
"2011-05-03",-55
"2011-05-04",-87
"2011-05-05",-119
"2011-05-06",-151
"2011-05-07",-183
"2011-05-08",-214
"2011-05-09",-244
"2011-05-10",-275
"2011-05-11",-304
"2011-05-12",-332
"2011-05-13",-360
"2011-05-14",-387
"2011-05-15",-413
"2011-05-16",-439
"2011-05-17",-463
"2011-05-18",-485
"2011-05-19",-506
"2011-05-20",-527
"2011-05-21",-547
"2011-05-22",-565
"2011-05-23",-581
"2011-05-24",-596
"2011-05-25",-611
"2011-05-26",-624
"2011-05-27",-635
"2011-05-28",-645
"2011-05-29",-652
"2011-05-30",-659
"2011-05-31",-664
"2011-06-01",-668
"2011-06-02",-670
"2011-06-03",-670
"2011-06-04",-669
"2011-06-05",-665
"2011-06-06",-661
"2011-06-07",-656
"2011-06-08",-649
"2011-06-09",-639
"2011-06-10",-629
"2011-06-11",-617
"2011-06-12",-603
"2011-06-13",-588
"2011-06-14",-572
"2011-06-15",-554
"2011-06-16",-535
"2011-06-17",-514
"2011-06-18",-493
"2011-06-19",-471
"2011-06-20",-447
"2011-06-21",-423
"2011-06-22",-397
"2011-06-23",-369
"2011-06-24",-342
"2011-06-25",-313
"2011-06-26",-283
"2011-06-27",-253
"2011-06-28",-222
"2011-06-29",-191
"2011-06-30",-159
"2011-07-01",-127
"2011-07-02",-94
"2011-07-03",-61
"2011-07-04",-28
"2011-07-05",6
"2011-07-06",38
"2011-07-07",70
"2011-07-08",102
"2011-07-09",135
"2011-07-10",166
"2011-07-11",197
"2011-07-12",229
"2011-07-13",259
"2011-07-14",289
"2011-07-15",319
"2011-07-16",347
"2011-07-17",374
"2011-07-18",400
"2011-07-19",426
"2011-07-20",451
"2011-07-21",474
"2011-07-22",496
"2011-07-23",518
"2011-07-24",537
"2011-07-25",556
"2011-07-26",573
"2011-07-27",589
"2011-07-28",604
"2011-07-29",617
"2011-07-30",629
"2011-07-31",639
"2011-08-01",646
"2011-08-02",653
"2011-08-03",658
"2011-08-04",661
"2011-08-05",664
"2011-08-06",664
"2011-08-07",664
"2011-08-08",661
"2011-08-09",655
"2011-08-10",649
"2011-08-11",642
"2011-08-12",633
"2011-08-13",621
"2011-08-14",609
"2011-08-15",596
"2011-08-16",580
"2011-08-17",563
"2011-08-18",544
"2011-08-19",525
"2011-08-20",504
"2011-08-21",482
"2011-08-22",459
"2011-08-23",435
"2011-08-24",409
"2011-08-25",383
"2011-08-26",355
"2011-08-27",327
"2011-08-28",298
"2011-08-29",267
"2011-08-30",237
"2011-08-31",206
"2011-09-01",173
"2011-09-03",142
"2011-09-04",109
"2011-09-05",75
"2011-09-06",43
"2011-09-07",9
"2011-09-08",-22
"2011-09-09",-56
"2011-09-10",-89
"2011-09-11",-122
"2011-09-12",-154
"2011-09-13",-186
"2011-09-14",-218
"2011-09-15",-249
"2011-09-16",-280
"2011-09-17",-309
"2011-09-18",-337
"2011-09-19",-365
"2011-09-20",-393
"2011-09-21",-418
"2011-09-22",-444
"2011-09-23",-467
"2011-09-24",-490
"2011-09-25",-512
"2011-09-26",-533
"2011-09-27",-552
"2011-09-28",-569
"2011-09-29",-586
"2011-09-30",-601
